metricId,name,description,targetValue,weight,enabled
"1,1,1",Percentage of actively scanned networks,,0.74,1,false
"1,2,1",Percentage of the organization's networks monitored by a passive asset discovery tool,,0.74,1,true
"1,3,1",Percentage of Infoblox instances sending logs to Splunk,,0.74,1,true
"1,4,1",Percentage of matches for CIs in MDLZ Splunk Asset Inventory and ServiceNow CMDB,,0.74,1,true
"1,5,1",Percentage of assets with full set of attributes presented in Inventory,,0.74,1,true
"1,6,1","Percentage of 801.1x or MAC unauthenticated  (BYOD, Contractors, partners etc.) assets allowed to access Corporate Data VLAN",,0.74,0.34,true
"1,6,2",Percentage of quarantined non-compliant assets via Cisco ISE Posture/Compliance checks,,0.74,0.33,true
"1,6,3",Percentage of authorized cloud Sign In Hardware,Percentage of authorized assets accessing MDLZ data vs. all assets,0.74,0.33,true
"1,7,1",Percentage of Network Switches configured for 802.1x or MAC port access authentication from total number of network switches,,0.74,1,true
"1,8,1",Percentage of Network Switches configured for 802.1x certificate based port access authentication from total number of network switches,,0.74,1,true
"3,1,1",Percentage of hardware assets (workstations and servers)  scanned for the last 30 days for vulnerabilities,,0.74,0.5,true
"3,1,2",Check frequency of vulnerability scans and report percentage compliance with previous period,,0.74,0.5,true
"3,2,1",Percentage of assets scanned for vulnerabilities through Authenticated remote or Agent local scans,,0.74,1,true
"3,3,1",Percentage of  assets scanned for vulnerabilities through authenticated remote scan with a dedicated account (S-) for the respective Asset Type,,0.74,0.5,true
"3,3,2",Percentage of dedicated accounts not being used for other activities than VM scanning,,0.74,0.5,true
"3,4,1","Percentage of hardware assets covered by Automated OS Update tools like SCCM, Intune etc.",,0.74,1,true
"3,5,1",Percentage of hardware assets covered by Automated Third-Party software update tool,,0.74,1,false
"3,6,1",Percentage of On-time closed vulnerability detections (wthin 60 days) from all Closed vulnerabilities within last 60 days,,0.74,1,true
"3,7,1",Percentage of discovered Asset vulnerabilities with Risk Level assigned,Count all newly detected vulnerabilities (last 30 days) with associated risk level,0.74,1,true
"4,1,1",Azure AD: Percentage of inventoried Azure Privileged Roles,,0.74,0.33,true
"4,1,2",On-Prem AD: Percentage of inventoried Privileged AD Groups,,0.74,0.33,true
"4,1,3",Local Admins: Percentage of inventoried hardware devices for Local Admins & sudoers,,0.74,0.34,true
"4,2,1",Binary metric - if any device has ACTIVE  QIDs related to default credentials or bruteforce attacking  will be considered as 0 % compliance. Otherwise 100%.,"Any devices with ACTIVE QIDs related to default credentials or bruteforce attacking  (QID=43021, 90081, 19008, 87098, 11804)",0.74,1,true
"4,3,1",Percentage of A- accounts having normal LAN ID,,0.74,1,true
"4,5,1",Percentage of Critical Business Services enabled for MFA,,0.74,0.5,true
"4,5,2",Percentage of A- accounts enrolled for MFA,,0.74,0.5,true
"4,6,1",Percentage of A- accounts using CyberArk Privilege Session Manager to establish remote terminal admin sessions,,0.74,0.5,true
"4,6,2",Percentage of A- accounts managed by CyberArk,,0.74,0.5,true
"4,8,1",Percentage of authorization systems monitored for add/remove members to administrative groups or roles,,0.74,1,true
"4,9,1",Percentage of Workstations and Servers  configured to log unsuccessful login attempts,,0.74,1,false
"6,1,1",Percentage of Servers and Network devices configured to use at least 3 NTP servers,,0.74,1,false
"6,2,1",Percentage of devices which logs are collected by MDLZ SIEM platform,,0.74,1,true
"6,3,1","Percentage of devices with enabled ""info"" level of logging",,0.74,1,true
"6,4,1",Percentage of system logs retained in compliance with MDLZ Log Retention Policy,,0.74,1,true
"6,5,1",Percentage of devices sending logs to Splunk,,0.74,1,true
"6,6,1",Percentage of devices sending Security and Audit logs to Splunk,,0.74,1,true
"6,7,1",Percentage of log-sources used for correlations or alerting in Splunk,,0.74,1,true
"6,8,1",Percentage of False Positives vs all Security Incidents based on events from SIEM platforms,,0.74,1,true
"7,4,1",Percentage of on-prem locations (IPAMs) having URL inspected traffic,,0.74,0.5,true
"7,4,2",Percentage of devices having  URL inspected traffic when off-premise/remote workers,,0.74,0.5,true
"7,5,1",Percentage of categorized web/URL traffic or services accessed by users in ZScaler WAF,,0.74,1,true
"7,6,1",Percentage of off-prem devices having logged URL requests by WAF solutions,,0.74,0.5,true
"7,6,2",Percentage of on-prem devices having logged URL requests by WAF solutions,,0.74,0.5,true
"7,7,1",Percentage of inspected web/URL sessions,,0.74,0.5,true
"7,7,2",Percentage of e-mail messages with rewritten URL,,0.74,0.5,true
"7,8,1",Percentage of Inbound messages inspected for DMARC compliance,,0.74,1,true
"7,9,1",Percentage of discarded Inbound messages with unnecessary attachments,,0.74,1,true
"7,10,1",Percentage of inbound messages with attachments inspected for malware with Sandbox execution,,0.74,1,true
"8,1,1",Percentage of hardware assets (Workstations and Servers)  covered by ATP,,0.74,1,true
"8,2,1",Percentage of Active ATP protected assets   having communication with ATP admin console within last 15 days,,0.74,0.5,true
"8,2,2",Percentage of hardware assets compliant with latest authorized version of ATP sensor/agent,,0.74,0.5,true
"8,3,1",Percentage of Workstations enrolled for DEP,,0.74,0.5,false
"8,3,2",Percentage of Workstations enrolled for ASLR,,0.74,0.5,false
"8,4,1",Percentage of corporate assets (workstations)  configured to conduct anti-malware scan of removable media,,0.74,1,true
"8,5,1","Percentage of corporate assets (workstations)  compliant with ""Not auto-run content from removable media"" policy",,0.74,1,true
