subMetricId,name,description,targetValue,weight,enabled
"1,1,1,1",OT/CCN,,0.74,0.5,false
"1,1,1,2",IoT,,0.74,0.5,false
"1,2,1,1",OT/CCN,,0.74,0.5,true
"1,2,1,2",IT/Enterprise,,0.74,0.5,true
"1,3,1,1",Infoblox Appliances,,0.74,1,true
"1,4,1,1",Servers,,0.74,0.25,true
"1,4,1,2",Workstations,,0.74,0.25,true
"1,4,1,3",Network,,0.74,0.25,true
"1,4,1,4",Mobile,,0.74,0.25,true
"1,5,1,1",Servers,,0.74,0.25,true
"1,5,1,2",Workstations,,0.74,0.25,true
"1,5,1,3",Network,,0.74,0.25,true
"1,5,1,4",Mobile,,0.74,0.25,true
"1,6,1,1",All Hardware Assets,,0.74,1,true
"1,6,2,1",All Hardware Assets,,0.74,1,true
"1,6,3,1",All Hardware Assets,,0.74,1,true
"1,7,1,1",All Managed Network Device Assets,,0.74,1,true
"1,8,1,1",Percentage of Dot1x authenticated devices vs. all MDLZ Managed devices.,,0.74,1,true
"3,1,1,1",Servers,,0.74,0.50,true
"3,1,1,2",Workstation,,0.74,0.25,true
"3,1,1,3",Network,,0.74,0.25,true
"3,1,1,4",Mobile,,0.74,0.10,false
"3,1,2,1",VM tools,Count of VM scans,0.74,1,true
"3,2,1,1",Servers,Servers scanned for vulnerabilities,0.74,0.50,true
"3,2,1,2",Workstations,Workstations scanned for vulnerabilities,0.74,0.25,true
"3,2,1,3",Network,Network devices scanned for vulnerabilities,0.74,0.25,true
"3,2,1,4",Mobile,Mobile devices scanned for vulnerabilities,0.74,0.10,false
"3,3,1,1",Server,server VM scanned,0.74,0.25,true
"3,3,1,2",Workstation,workstation VM scanned,0.74,0.25,true
"3,3,1,3",Network,network VM scanned,0.74,0.25,true
"3,3,1,4",Mobile,mobile VM scanned,0.74,0.25,true
"3,3,2,1",Dedicated accounts for VM,VM scanning accounts,0.74,1,true
"3,4,1,1",Servers,,0.74,0.40,true
"3,4,1,2",Workstations,,0.74,0.20,true
"3,4,1,3",Network,,0.74,0.30,true
